county,code,district,population,native_pop,asian_pop,black_pop,hispanic_pop,api_pop,multi_pop,white_pop,li_pop,se_pop,disciplined,native_d,asian_d,black_d,hispanic_d,api_d,multi_d,white_d,li_d,se_d
King,17001,Seattle ,56908,507,9235,10202,7546,339,4271,24739,24002,8763,1958,45,154,805,330,19,123,481,1446,688
Pierce,27010,Tacoma ,35332,494,3383,7085,6406,857,1825,15282,23481,4907,2304,41,112,836,368,67,113,767,1954,613
Spokane,32081,Spokane ,34325,703,808,925,3328,522,4081,23956,19990,5460,2411,78,14,141,278,37,400,1463,2096,741
King,17415,Kent ,30761,178,5128,3939,6624,775,2735,11382,17735,3797,1178,10,68,357,281,31,119,312,958,326
Clark,06114,Evergreen  (Clark),29574,178,1879,950,5225,523,2152,18667,15368,4069,1248,14,26,87,226,24,114,757,914,358
King,17414,Lake Washington ,28236,74,5740,498,2992,53,1850,17029,4658,3813,427,,45,21,69,,32,252,159,178
King,17210,Federal Way ,26392,191,3044,3163,6770,1197,3235,8792,16720,3772,1383,15,43,341,327,67,219,371,1150,384
Clark,06037,Vancouver ,26050,187,844,853,5922,555,1668,16021,15282,3619,1520,14,15,107,358,61,123,842,1202,439
Pierce,27003,Puyallup ,24775,1032,1086,938,3596,308,2687,15125,10055,3354,866,12,14,60,136,20,101,523,537,213
Pierce,27403,Bethel ,24026,371,1199,2047,3648,731,2081,13944,9717,2980,951,30,30,138,134,29,56,533,597,209
Snohomish,31015,Edmonds ,22760,143,2902,1446,4158,155,2195,11761,9762,3631,624,7,28,50,153,,81,301,406,195
King,17401,Highline ,22109,296,3005,2852,8027,1002,1628,5294,15740,3346,599,14,25,138,198,45,58,121,522,186
King,17417,Northshore ,21764,100,3021,430,2808,85,1602,13718,4278,3279,504,,34,19,90,,44,311,206,182
Snohomish,31002,Everett ,21704,187,2552,934,3743,285,1314,12689,9892,3071,491,9,27,41,97,,30,282,341,127
King,17405,Bellevue ,20845,46,6833,631,2480,45,1784,9026,4469,1954,380,,46,39,84,,34,172,202,133
Benton,03017,Kennewick ,20295,105,416,510,5602,57,484,13121,11742,1973,1011,,8,46,371,9,30,545,771,190
King,17411,Issaquah ,20036,68,4563,427,1605,74,1150,12149,2534,2154,427,12,31,45,76,6,18,239,220,155
Franklin,11001,Pasco ,18645,24,203,411,12800,35,395,4777,13744,2528,881,,,46,656,,12,161,752,242
Yakima,39007,Yakima ,18524,224,78,190,13765,11,465,3791,15199,2623,1401,17,0,18,1044,,41,280,1299,252
Snohomish,31006,Mukilteo ,18412,98,2564,1030,4900,201,1504,8115,9719,2570,625,,31,73,181,,63,268,415,187
King,17403,Renton ,17316,115,4097,3259,3790,154,1132,4769,10294,2640,930,13,79,395,192,6,66,179,759,290
King,17408,Auburn ,17272,264,1257,1256,4349,543,1545,8056,10132,1964,653,25,21,115,153,21,66,252,520,156
Thurston,34003,North Thurston ,16606,348,1179,983,2956,352,2028,8756,7923,2367,557,12,22,57,115,10,72,269,383,156
Pierce,27400,Clover Park ,15829,100,684,2090,4671,630,1877,5777,11175,2640,596,7,10,139,171,32,84,153,514,141
Spokane,32356,Central Valley ,14897,121,197,235,949,72,685,12638,6014,2169,601,14,,20,52,,37,475,374,215
Clark,06119,Battle Ground ,14407,46,265,82,1190,48,735,12041,6292,1974,298,,,,23,,23,242,191,82
Benton,03400,Richland ,13986,103,513,310,2072,34,448,10506,5146,1563,648,7,6,21,123,,14,472,390,142
Snohomish,31025,Marysville ,13068,758,596,220,2696,86,1326,7386,7177,2103,325,30,6,14,76,,35,161,235,76
